Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
USD Fiyat Listesi;Hyperconverged Mimari Zerto Replication vCpu;vCPU;1.64
Euro Fiyat Listesi;Hyperconverged Mimari Zerto Replication vCpu;vCPU;1.39
TL Fiyat Listesi;Hyperconverged Mimari Zerto Replication RAM;GB;51.46
USD Fiyat Listesi;Hyperconverged Mimari Zerto Replication RAM;GB;1.15
Euro Fiyat Listesi;Hyperconverged Mimari Zerto Replication RAM;GB;0.98
TL Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD Hybrid;GB;1.79
USD Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD Hybrid;GB;0.04
Euro Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD Hybrid;GB;0.03
TL Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD;GB;1.79
USD Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD;GB;0.04
Euro Fiyat Listesi;Hyperconverged Mimari Zerto Replication Disk - SSD;GB;0.03
TL Fiyat Listesi;Klasik Mimari Zerto Replication vCpu;vCPU;88.6
USD Fiyat Listesi;Klasik Mimari Zerto Replication vCpu;vCPU;1.98
Euro Fiyat Listesi;Klasik Mimari Zerto Replication vCpu;vCPU;1.68
TL Fiyat Listesi;Klasik Mimari Zerto Replication RAM;GB;25.95
USD Fiyat Listesi;Klasik Mimari Zerto Replication RAM;GB;0.58
Euro Fiyat Listesi;Klasik Mimari Zerto Replication RAM;GB;0.49
TL Fiyat Listesi;Klasik Mimari Zerto Replication Disk - NVMe;GB;7.16
USD Fiyat Listesi;Klasik Mimari Zerto Replication Disk - NVMe;GB;0.16
Euro Fiyat Listesi;Klasik Mimari Zerto Replication Disk - NVMe;GB;0.14
TL Fiyat Listesi;Mail Gateway Hizmeti;Adet;9468.78
USD Fiyat Listesi;Mail Gateway Hizmeti;Adet;211.6
Euro Fiyat Listesi;Mail Gateway Hizmeti;Adet;179.57
TL Fiyat Listesi;PostgreSQL Veritabanı Yönetimi-Gelişmiş;Adet;4376.85
Euro Fiyat Listesi;PostgreSQL Veritabanı Yönetimi-Gelişmiş;Adet;83.01
